year,country,vaccine,coverage,oecd_region
2010,Australia,Hepatitis B,91.6,Asia-Pacific
2011,Australia,Hepatitis B,91.6,Asia-Pacific
2012,Australia,Hepatitis B,91.8,Asia-Pacific
2013,Australia,Hepatitis B,91.0,Asia-Pacific
2014,Australia,Hepatitis B,91.2,Asia-Pacific
2015,Australia,Hepatitis B,92.8,Asia-Pacific
2016,Australia,Hepatitis B,94.2,Asia-Pacific
2017,Australia,Hepatitis B,94.7,Asia-Pacific
2018,Australia,Hepatitis B,94.5,Asia-Pacific
2019,Australia,Hepatitis B,94.9,Asia-Pacific
2020,Australia,Hepatitis B,95.3,Asia-Pacific
2021,Australia,Hepatitis B,95.0,Asia-Pacific
2010,Austria,Hepatitis B,86.0,Europe
2011,Austria,Hepatitis B,89.0,Europe
2012,Austria,Hepatitis B,92.0,Europe
2013,Austria,Hepatitis B,95.0,Europe
2014,Austria,Hepatitis B,98.0,Europe
2015,Austria,Hepatitis B,93.0,Europe
2016,Austria,Hepatitis B,87.0,Europe
2017,Austria,Hepatitis B,90.0,Europe
2018,Austria,Hepatitis B,85.0,Europe
2019,Austria,Hepatitis B,85.0,Europe
2020,Austria,Hepatitis B,85.0,Europe
2010,Belgium,Hepatitis B,97.0,Europe
2011,Belgium,Hepatitis B,97.0,Europe
2012,Belgium,Hepatitis B,98.0,Europe
2013,Belgium,Hepatitis B,98.0,Europe
2014,Belgium,Hepatitis B,98.0,Europe
2015,Belgium,Hepatitis B,98.0,Europe
2016,Belgium,Hepatitis B,97.0,Europe
2017,Belgium,Hepatitis B,97.0,Europe
2018,Belgium,Hepatitis B,97.0,Europe
2019,Belgium,Hepatitis B,97.0,Europe
2020,Belgium,Hepatitis B,97.0,Europe
2010,Canada,Hepatitis B,56.0,North America
2011,Canada,Hepatitis B,70.0,North America
2012,Canada,Hepatitis B,70.0,North America
2013,Canada,Hepatitis B,55.0,North America
2014,Canada,Hepatitis B,55.0,North America
2015,Canada,Hepatitis B,69.0,North America
2016,Canada,Hepatitis B,70.0,North America
2017,Canada,Hepatitis B,71.0,North America
2018,Canada,Hepatitis B,71.0,North America
2019,Canada,Hepatitis B,84.0,North America
2020,Canada,Hepatitis B,84.0,North America
2010,Czech Republic,Hepatitis B,99.3,Europe
2011,Czech Republic,Hepatitis B,99.1,Europe
2012,Czech Republic,Hepatitis B,99.3,Europe
2013,Czech Republic,Hepatitis B,99.2,Europe
2014,Czech Republic,Hepatitis B,99.2,Europe
2015,Czech Republic,Hepatitis B,97.2,Europe
2016,Czech Republic,Hepatitis B,95.8,Europe
2017,Czech Republic,Hepatitis B,94.4,Europe
2018,Czech Republic,Hepatitis B,96.0,Europe
2019,Czech Republic,Hepatitis B,96.7,Europe
2020,Czech Republic,Hepatitis B,97.0,Europe
2021,Czech Republic,Hepatitis B,93.7,Europe
2010,France,Hepatitis B,64.0,Europe
2011,France,Hepatitis B,74.0,Europe
2012,France,Hepatitis B,78.0,Europe
2013,France,Hepatitis B,82.0,Europe
2014,France,Hepatitis B,83.0,Europe
2015,France,Hepatitis B,88.0,Europe
2016,France,Hepatitis B,88.1,Europe
2017,France,Hepatitis B,90.0,Europe
2018,France,Hepatitis B,91.3,Europe
